emp_no,first_name,last_name,title,from_date,to_date
12341,Rasiah,Luga,Engineer,1985-05-25,1990-05-25
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,9999-01-01
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,1994-08-27
12722,Elliott,Cheshire,Senior Staff,1985-03-29,9999-01-01
12773,Jenwei,Lovengreen,Engineer,1985-03-05,1994-03-05
12803,Gad,Boissier,Staff,1985-03-16,1990-03-16
12815,Sushant,Junot,Staff,1985-02-27,1993-02-27
12816,Freyja,Ramras,Engineer,1985-04-18,1992-04-18
12863,Leif,Matheson,Engineer,1985-09-06,1990-09-06
12890,Neven,Casley,Senior Staff,1985-10-31,9999-01-01
12922,Jacqueline,Porenta,Senior Staff,1985-11-20,1993-09-16
12926,Heekeun,Luby,Staff,1985-12-24,1992-12-24
13049,Fan,Naudin,Staff,1985-10-06,1986-01-08
13124,Quingbo,Garnick,Senior Staff,1985-03-17,9999-01-01
13133,Guther,Senzako,Staff,1985-09-03,1991-09-03
13146,Haldon,Erie,Senior Staff,1985-05-25,9999-01-01
13272,Arun,Jiang,Senior Staff,1985-03-10,9999-01-01
13305,Bikash,Herath,Staff,1985-07-17,1994-07-17
13552,Ingmar,Capobianchi,Staff,1985-03-23,1993-03-23
13605,Dmitry,Encarnacion,Staff,1985-09-29,1991-09-29
13648,Zejun,Lamba,Technique Leader,1985-11-16,9999-01-01
13684,Elvia,Christ,Senior Staff,1985-02-06,2002-03-30
13697,Shuichi,Weedon,Technique Leader,1985-06-20,9999-01-01
13792,Valery,Sury,Staff,1985-07-27,1991-07-27
13815,Guadalupe,Plotkin,Engineer,1985-09-09,1993-09-09
13846,Guiseppe,Welham,Senior Staff,1985-03-20,9999-01-01
13914,Serge,Albarhamtoshy,Senior Staff,1985-08-07,1989-01-15
13930,Sukumar,Chartres,Staff,1985-11-26,1992-11-26
13951,Mooi,Genther,Staff,1985-12-28,1990-12-28
13969,Jianwen,Chandrasekhar,Technique Leader,1985-05-29,9999-01-01
13986,Geraldo,Ramsey,Staff,1985-12-03,1989-01-19
14005,Vojin,Stellhorn,Technique Leader,1985-05-10,9999-01-01
14034,Aloys,Seghrouchni,Staff,1985-08-26,1991-08-26
14113,Along,Herber,Engineer,1985-11-17,1988-01-24
14118,Kasturi,Anido,Senior Staff,1985-04-06,9999-01-01
14167,Adas,Hertweck,Engineer,1985-12-01,1994-12-01
14242,Sudhanshu,Benaini,Staff,1985-06-27,1992-06-27
14293,Qunsheng,Middleton,Senior Staff,1985-05-09,1990-09-12
14345,Barry,Ramsey,Engineer,1985-04-06,1990-07-15
14354,Mong,Bojadziev,Staff,1985-08-28,1990-08-28
14422,Toshimo,Gadepally,Engineer,1985-10-20,1990-10-20
14513,Samphel,Barreiro,Senior Staff,1985-07-28,9999-01-01
14560,Elrique,Driscoll,Engineer,1985-05-21,1993-05-21
14659,Sashi,Adachi,Engineer,1985-03-16,1990-03-16
14899,Alejandro,Casley,Staff,1985-02-22,1991-02-22
14923,Shuzo,Gyorkos,Technique Leader,1985-05-15,9999-01-01
14928,Satoru,Mukaidono,Senior Staff,1985-05-17,9999-01-01
14955,Boguslaw,Kalefeld,Assistant Engineer,1985-02-03,1994-02-03
15253,Ayonca,Pardalos,Engineer,1985-06-06,1992-06-06
15343,Chaosheng,Luce,Engineer,1985-03-12,1992-03-12
15382,Alassane,Siegrist,Staff,1985-12-26,1992-12-26
15412,Huai,Thiria,Engineer,1985-08-23,1992-08-23
15545,Masadi,Suri,Engineer,1985-09-10,1993-01-06
15600,Mack,Perna,Engineer,1985-04-26,1994-04-26
15623,Vishu,Falby,Engineer,1985-09-23,1990-09-23
15651,Huan,Iwayama,Assistant Engineer,1985-11-22,1993-11-22
15767,Baocai,Broomell,Assistant Engineer,1985-06-08,1992-06-08
15876,Munehiro,Vakili,Assistant Engineer,1985-08-02,1992-08-02
16019,Chaoyi,Heystek,Engineer,1985-08-01,1990-08-01
16066,Marsha,Penn,Staff,1985-09-16,1993-09-16
16105,Alper,Tetzlaff,Senior Staff,1985-12-31,1996-05-08
16227,Hitomi,Vural,Engineer,1985-09-25,1993-09-25
16266,Mikhail,Sethi,Senior Staff,1985-10-25,9999-01-01
16302,Bedir,Speek,Engineer,1985-08-10,1988-12-06
16331,Giap,Garnham,Staff,1985-12-25,1991-12-25
16365,Janalee,Mellouli,Staff,1985-04-27,1990-04-27
16397,Shimshon,Cusworth,Staff,1985-05-24,1990-05-24
16500,Elvis,Servieres,Staff,1985-07-15,1992-07-15
16803,Ziva,Rohrbach,Assistant Engineer,1985-03-14,1994-03-14
16832,Mads,Binkley,Engineer,1985-02-26,1991-02-26
16852,Yefim,Fontet,Engineer,1985-05-14,1993-05-14
17063,Anoosh,Thiran,Staff,1985-12-12,1992-12-12
17081,Weiru,Murtafg,Engineer,1985-12-28,1992-12-28
17089,Rafail,Erman,Staff,1985-04-10,1991-04-10
17097,Cathie,Berztiss,Engineer,1985-03-19,1990-03-26
17125,Akhilish,Zweizig,Assistant Engineer,1985-10-17,1993-10-17
17143,Ziyad,Munke,Senior Engineer,1985-09-10,9999-01-01
17275,Shmuel,Danlos,Staff,1985-08-30,1992-08-30
17322,Candida,Fordan,Technique Leader,1985-05-15,1997-09-10
17340,Yurii,Brookman,Staff,1985-07-05,1992-07-05
17436,Chirstian,Munawer,Senior Staff,1985-08-12,9999-01-01
17478,Tuval,Merle,Staff,1985-06-13,1990-06-13
17681,Eran,Schauser,Staff,1985-09-25,1991-09-25
17699,Radhia,Heping,Engineer,1985-07-21,1993-07-21
17705,Toshimo,Mellouli,Technique Leader,1985-08-14,9999-01-01
17745,Hatem,Schreiter,Engineer,1985-05-02,1993-05-02
17840,Tonny,Sherertz,Engineer,1985-06-20,1991-06-20
18018,Sasan,Schrooten,Staff,1985-12-10,1992-12-10
18061,Francesca,Taubman,Engineer,1985-05-28,1986-01-08
18138,Moni,Baezner,Staff,1985-08-05,1992-08-05
18212,Constantino,Journel,Staff,1985-04-30,1992-04-30
18250,Godehard,Orlowski,Engineer,1985-12-31,1988-02-21
18297,Guther,Nastansky,Senior Staff,1985-09-07,9999-01-01
18316,Hongzue,Msuda,Senior Engineer,1985-02-19,9999-01-01
18402,Bernice,Ritzmann,Staff,1985-05-02,1991-05-02
18450,Takahito,Hoppenstand,Staff,1985-05-19,1993-05-19
18784,Pohua,Hempstead,Staff,1985-07-31,1992-07-31
18943,Anneli,Rando,Staff,1985-04-18,1990-04-18
18979,Girolamo,Fujisawa,Senior Engineer,1985-12-29,9999-01-01
18994,Leszek,Mitsuhashi,Staff,1985-09-03,1991-09-03
19109,Jenwei,Denis,Staff,1985-12-05,1993-12-05
19194,Uta,Pramanik,Staff,1985-11-19,1993-11-19
19202,Tommaso,Munke,Staff,1985-02-25,1990-12-31
19353,Mayumi,Schaar,Senior Engineer,1985-10-28,9999-01-01
19356,Masato,Prenel,Senior Staff,1985-12-29,9999-01-01
19454,Taisook,Hutter,Senior Staff,1985-02-26,9999-01-01
19515,Keiichiro,Gurbaxani,Engineer,1985-11-21,1992-11-21
19586,Hirochika,Minakawa,Senior Engineer,1985-10-02,9999-01-01
19624,Younwoo,Wolniewicz,Staff,1985-11-11,1992-11-11
19637,Dipayan,Papastamatiou,Engineer,1985-05-26,1991-05-26
19653,Gay,Crooks,Technique Leader,1985-03-26,9999-01-01
19669,Shem,Honiden,Staff,1985-10-29,1992-10-29
19758,Rildo,Birdsall,Engineer,1985-04-26,1990-04-26
19766,Saeed,Munke,Staff,1985-10-22,1994-10-22
19776,Kersti,Comellas,Assistant Engineer,1985-06-15,1986-10-13
19826,Fox,Christ,Senior Staff,1985-05-08,9999-01-01
19828,Dannz,Maliniak,Engineer,1985-06-06,1992-06-06
19901,Tsvetan,Stasinski,Senior Staff,1985-02-27,9999-01-01
19931,Satyanarayana,Pettis,Engineer,1985-07-28,1993-07-28
19943,Shimshon,Schoegge,Technique Leader,1985-10-03,9999-01-01
19950,Jaroslava,Kusakari,Engineer,1985-04-14,1993-04-14
20013,Jaewoo,Lanphier,Engineer,1985-03-17,1991-03-17
20043,Chikara,Adachi,Engineer,1985-03-21,1990-03-21
20048,Moon,Mattern,Engineer,1985-03-21,1990-12-31
20055,Hairong,Swiss,Senior Staff,1985-04-26,9999-01-01
20068,Masali,Rouquie,Engineer,1985-04-11,1990-04-11
20075,Mikhail,Oberman,Engineer,1985-10-05,1993-10-05
20368,Denis,Samarati,Senior Staff,1985-03-11,9999-01-01
20416,Oddvar,Swiler,Engineer,1985-08-07,1988-05-13
20489,Boguslaw,Garrabrants,Engineer,1985-10-22,1994-10-22
20494,Lucien,Pagter,Staff,1985-10-23,1990-10-23
20528,Dines,Bednarek,Staff,1985-06-04,1994-06-04
20626,Hercules,Varman,Senior Engineer,1985-09-22,9999-01-01
20674,Maria,Avouris,Staff,1985-06-07,1992-06-07
20828,Brewster,Sewelson,Staff,1985-12-06,1990-12-06
20860,Szabolcs,Michaels,Engineer,1985-07-19,1992-07-19
20903,Yagil,Kemmerer,Senior Engineer,1985-09-21,9999-01-01
20929,Along,Hebden,Senior Engineer,1985-04-02,9999-01-01
20979,Pradeep,Kumaresan,Staff,1985-09-30,1994-09-30
21133,Carrsten,Brizzi,Staff,1985-11-16,1991-11-16
21143,Mayumi,Hennings,Senior Staff,1985-11-25,9999-01-01
21206,Krisda,Walstra,Assistant Engineer,1985-10-04,1992-10-04
21321,Laurentiu,Raney,Assistant Engineer,1985-11-06,1990-11-06
21413,Laurentiu,Sherertz,Senior Staff,1985-06-24,9999-01-01
21454,Zsolt,Pocchiola,Staff,1985-08-25,1991-08-25
21470,Kousuke,Botman,Staff,1985-02-04,1993-02-04
21505,Etsuo,Delaune,Engineer,1985-10-25,1991-10-25
21507,Mansur,Benzmuller,Senior Staff,1985-07-18,9999-01-01
21509,Udo,Rubsam,Staff,1985-05-21,1992-05-21
21560,Kyoichi,Dechter,Staff,1985-11-19,1990-11-19
21636,Munir,Erde,Staff,1985-05-05,1990-05-05
21639,Caolyn,Domenig,Engineer,1985-04-29,1994-04-29
21692,Reinhard,Hitomi,Engineer,1985-05-16,1993-05-16
21783,Domenick,Qiwen,Senior Engineer,1985-07-12,9999-01-01
21832,Suzette,Vecchio,Staff,1985-07-02,1992-07-02
21848,Atreyi,Zhang,Engineer,1985-05-17,1991-05-17
21851,Falguni,Budinsky,Staff,1985-05-09,1993-05-09
21859,Padma,Swen,Engineer,1985-11-07,1992-11-07
21894,Marke,Yemenis,Senior Staff,1985-06-03,9999-01-01
22072,Kasturi,Pettit,Engineer,1985-12-09,1991-12-09
22190,Berry,Perna,Technique Leader,1985-12-13,9999-01-01
22224,Brendon,Rohrbach,Staff,1985-07-10,1993-07-10
22265,Yonghong,Claffy,Senior Engineer,1985-05-24,9999-01-01
22337,Leszek,Picci,Staff,1985-03-30,1990-03-30
22416,Feiyu,Syrotiuk,Staff,1985-03-06,1993-03-06
22429,Franziska,Terekhov,Engineer,1985-10-17,1990-10-17
22441,Angus,Neiman,Senior Engineer,1985-02-11,1998-02-12
22693,Emran,Valiente,Senior Staff,1985-03-21,1994-06-28
22702,Faiza,Reeken,Senior Engineer,1985-06-21,9999-01-01
22776,Ekawit,Whitcomb,Staff,1985-05-07,1993-05-07
22810,Lena,Shanbhogue,Engineer,1985-03-13,1986-10-16
22812,Weiru,Kemmerer,Staff,1985-06-29,1990-06-29
22838,Brendon,Markovitch,Senior Engineer,1985-06-06,9999-01-01
22861,Susumu,Baja,Engineer,1985-09-12,1993-09-12
22889,Edwin,Klassen,Engineer,1985-11-22,1994-11-22
22894,Muzhong,Casley,Senior Staff,1985-02-17,9999-01-01
22934,Parviz,Plumb,Staff,1985-03-23,1994-03-23
23220,Christoper,Back,Engineer,1985-12-02,1990-12-02
23224,Nikolaos,Engelmann,Staff,1985-08-13,1993-08-13
23252,Dzung,Simkin,Engineer,1985-03-19,1993-03-19
23314,Krassimir,Demizu,Senior Staff,1985-07-24,9999-01-01
23323,Siamak,Alvarado,Engineer,1985-04-01,1994-04-01
23330,Aloke,Cooley,Engineer,1985-10-05,1991-10-05
23406,Masadi,Masada,Staff,1985-02-12,1990-02-12
23470,Neven,Hutton,Engineer,1985-09-05,1993-09-05
23490,Xiaoheng,Zumaque,Engineer,1985-10-07,1993-10-07
23589,Ziya,Perko,Engineer,1985-04-28,1993-04-28
23640,Leucio,Mamelak,Engineer,1985-06-08,1990-06-08
23648,Jinxi,Luiz,Senior Staff,1985-07-20,9999-01-01
23695,Babette,Genin,Staff,1985-11-22,1994-11-22
23753,Karsten,Isaac,Engineer,1985-12-15,1992-12-15
23777,Juichirou,Kilgore,Engineer,1985-02-28,1992-02-29
23822,Faiza,Rosar,Engineer,1985-06-01,1991-06-01
23924,Shakhar,Solovay,Senior Engineer,1985-07-22,9999-01-01
23938,Nahum,Facello,Senior Engineer,1985-09-15,9999-01-01
23943,Hyuncheol,Fritzsche,Engineer,1985-06-11,1992-06-11
23993,Gian,Ghalwash,Engineer,1985-06-08,1993-06-08
24034,Murthy,Validov,Engineer,1985-05-07,1993-05-07
24040,Udi,Meriste,Staff,1985-12-13,1986-11-22
24072,Tianruo,Piveteau,Assistant Engineer,1985-09-21,1990-09-21
24078,Sachem,Einsfeld,Staff,1985-02-22,1990-11-09
24121,Franziska,Bale,Engineer,1985-09-03,1991-09-03
24183,Muneo,Rousseau,Staff,1985-05-03,1990-05-03
24199,Iara,Bach,Senior Engineer,1985-09-20,9999-01-01
24251,Moto,Mondadori,Senior Staff,1985-03-18,9999-01-01
24364,Erez,Orlowski,Engineer,1985-04-08,1994-04-08
24462,Chenye,Senzako,Senior Engineer,1985-07-10,1994-05-24
24472,Behnaam,Oehlmann,Engineer,1985-08-14,1993-08-14
24673,Kasturi,Gopalakrishnan,Senior Staff,1985-11-06,1986-03-05
24844,Anwar,Jumpertz,Staff,1985-06-24,1990-06-24
24853,Zhongwei,McClurg,Staff,1985-04-26,1992-04-26
24861,Kiyokazu,Munoz,Staff,1985-07-14,1985-09-11
24888,Murthy,Felder,Staff,1985-03-31,1990-03-31
25007,Dipankar,Showalter,Engineer,1985-05-15,1990-05-15
25035,Ayakannu,Flasterstein,Staff,1985-04-19,1992-04-19
25042,Steve,Bennis,Senior Engineer,1985-12-26,1991-10-11
25084,Alenka,Jullig,Senior Engineer,1985-04-15,9999-01-01
25085,Tran,Usery,Staff,1985-05-03,1993-05-03
25337,Toshimo,McClurg,Staff,1985-08-05,1992-08-05
25504,Pramod,Servi,Staff,1985-09-19,1991-09-19
25550,Shaz,Haddadi,Engineer,1985-06-11,1991-06-11
25603,Kwangsub,Desikan,Staff,1985-09-10,1994-09-10
25615,Aria,Strehl,Staff,1985-09-30,1994-09-30
25644,Kwangho,Straney,Staff,1985-12-13,1993-12-13
25761,Hugo,Lundstrom,Staff,1985-07-29,1990-07-29
25835,Maria,Poehlman,Staff,1985-08-26,1992-08-26
25859,Subhrajyoti,Vasanthakumar,Senior Engineer,1985-10-04,9999-01-01
25882,Aleksander,Pellegrinelli,Senior Staff,1985-06-07,9999-01-01
25993,Kazuhiro,Luft,Staff,1985-12-20,1991-12-20
26012,Eric,Marwedel,Engineer,1985-05-04,1991-05-04
26086,Turgut,Beutelspacher,Senior Staff,1985-11-12,9999-01-01
26088,Theron,Woycyznski,Staff,1985-06-06,1994-06-06
26144,Kamakshi,Khasidashvili,Senior Engineer,1985-11-03,9999-01-01
26162,Yechiam,Grospietsch,Senior Engineer,1985-07-26,9999-01-01
26169,Boalin,Luca,Senior Engineer,1985-05-20,1992-10-01
26192,Geoffry,Tetzlaff,Senior Engineer,1985-05-09,9999-01-01
26317,Valdiodio,Weedman,Staff,1985-07-14,1991-07-14
26356,Marin,Gubsky,Engineer,1985-06-18,1987-05-04
26362,Aiichiro,Prampolini,Technique Leader,1985-12-24,1993-03-05
26391,Baoqiu,Kermarrec,Staff,1985-04-25,1993-04-25
26548,Susanta,Perly,Technique Leader,1985-05-19,1994-02-07
26750,Baziley,Denis,Staff,1985-02-14,1994-02-14
26752,Deniz,Zockler,Engineer,1985-08-09,1990-08-09
26753,Boalin,Decaestecker,Staff,1985-10-16,1992-10-16
26763,Tuval,Dusink,Engineer,1985-12-10,1989-03-15
26778,Zeljko,Scharstein,Staff,1985-12-11,1991-06-10
26846,Ewing,Chinal,Assistant Engineer,1985-08-20,1992-08-20
26856,Kazuhiko,Cooke,Engineer,1985-08-04,1990-08-04
26869,Jasminko,Vecchio,Senior Engineer,1985-10-29,9999-01-01
26960,Zhenbing,Delgrossi,Senior Engineer,1985-08-19,9999-01-01
26999,Snehasis,Worfolk,Engineer,1985-04-25,1994-04-25
27002,Guozhong,Zielinski,Senior Staff,1985-11-05,1990-12-08
27009,Yakichi,Oehlmann,Technique Leader,1985-02-13,1993-09-28
27024,Zijian,Bennis,Staff,1985-10-28,1993-10-28
27182,Saeko,Marakhovsky,Staff,1985-07-21,1992-07-21
27298,Stepehn,Loncour,Senior Engineer,1985-05-31,9999-01-01
27318,Demin,Rosaz,Senior Engineer,1985-11-26,1999-02-13
27365,Mang,Morris,Staff,1985-02-27,1994-02-27
27369,Cedric,Chinen,Staff,1985-08-19,1992-08-19
27373,Jiafu,Varman,Senior Engineer,1985-10-24,9999-01-01
27463,Masaki,McDermid,Senior Staff,1985-07-06,9999-01-01
27548,Slavian,Riexinger,Staff,1985-06-07,1994-06-07
27557,Teunis,Oxman,Staff,1985-10-18,1990-10-18
27670,Yolla,Merey,Engineer,1985-09-10,1991-09-10
27677,Mohammed,Peak,Engineer,1985-10-12,1994-10-12
27727,Heekeun,Rotem,Technique Leader,1985-06-19,1985-11-11
27854,Yurii,Unni,Staff,1985-11-11,1991-11-11
27926,Mats,Huttel,Senior Staff,1985-10-23,9999-01-01
27958,Uno,Hasham,Engineer,1985-08-02,1990-08-02
27978,Sedat,Unni,Engineer,1985-08-29,1990-08-29
28079,Rimon,Salvesen,Engineer,1985-04-30,1994-04-30
28288,Martijn,Niizuma,Staff,1985-04-13,1993-04-13
28315,Hideo,Servi,Engineer,1985-08-17,1994-08-17
28322,Premal,Millington,Staff,1985-05-10,1992-05-10
28327,Pascal,Welham,Engineer,1985-07-01,1993-07-01
28358,Constantino,Salinas,Staff,1985-06-04,1993-06-04
28366,Abdelwaheb,Falster,Senior Engineer,1985-08-19,9999-01-01
28529,Mabo,Griswold,Engineer,1985-06-09,1990-06-09
28604,Rafols,Kirkerud,Staff,1985-03-23,1986-12-04
28673,Carrsten,Zultner,Engineer,1985-06-27,1993-06-27
28757,Branimir,Poupard,Staff,1985-06-26,1991-06-26
28797,Shridhar,Heijenga,Technique Leader,1985-11-25,1994-05-26
28838,Steve,Kavraki,Assistant Engineer,1985-06-17,1991-06-17
28972,Jianhao,Radivojevic,Staff,1985-04-19,1992-04-19
28981,Dipayan,Bernardinello,Staff,1985-05-18,1990-05-18
28983,Mohammed,Luca,Staff,1985-06-29,1993-06-29
29026,Parto,Byoun,Engineer,1985-06-12,1991-06-12
29071,Jaideep,Hennings,Staff,1985-12-08,1993-12-08
29105,Snehasis,Marsiglia,Staff,1985-08-10,1993-08-10
29202,Rajmohan,Roohalamini,Senior Engineer,1985-12-29,9999-01-01
29353,Gaetan,Gadepally,Engineer,1985-07-31,1991-07-31
29425,Mingdong,Muntz,Engineer,1985-07-07,1994-07-07
29486,Jouni,Gerteisen,Senior Engineer,1985-06-03,9999-01-01
29513,Genki,Cusworth,Engineer,1985-07-08,1990-07-08
29519,Theirry,Bahr,Engineer,1985-12-24,1991-12-24
29524,Murthy,Engberts,Senior Staff,1985-07-24,9999-01-01
29539,Chaosheng,Heering,Staff,1985-12-08,1990-12-08
29596,Geoff,Lueh,Staff,1985-08-01,1990-08-01
29597,Yoshinari,Codenie,Engineer,1985-04-25,1990-04-25
29659,Adel,Pokrovskii,Staff,1985-06-06,1991-06-06
29715,Dinah,Valette,Engineer,1985-11-16,1994-11-16
29719,Sumant,Takkinen,Staff,1985-06-18,1994-06-18
29759,Arif,Thimonier,Staff,1985-02-13,1992-02-14
29760,Jinya,Paludetto,Senior Staff,1985-09-11,9999-01-01
29829,Pranjal,Pepe,Engineer,1985-03-28,1992-03-28
29946,Shooichi,McClure,Staff,1985-08-15,1991-08-15
30000,Matt,Avouris,Engineer,1985-10-21,1993-10-21
30167,Sorina,Tiemann,Engineer,1985-07-25,1993-07-25
30302,Amstein,Sankaranarayanan,Staff,1985-08-16,1992-08-16
30351,Djenana,Blokdijk,Staff,1985-07-15,1991-07-15
30454,Pradeep,Plessier,Assistant Engineer,1985-06-04,1990-06-04
30497,Youjian,Pettis,Staff,1985-07-08,1994-07-08
30689,Jeong,Potthoff,Staff,1985-06-14,1992-06-14
30745,Basil,Turnbull,Staff,1985-06-17,1989-08-23
30761,Hisao,Iisaka,Engineer,1985-03-31,1990-03-31
30800,Nevin,Fandrianto,Engineer,1985-11-03,1991-11-03
30828,Duke,Baumann,Engineer,1985-12-06,1994-12-06
30856,Chaosheng,Lampe,Assistant Engineer,1985-05-17,1992-05-17
30882,Kiam,Ulupinar,Staff,1985-09-02,1987-01-25
30968,Ingemar,Karlin,Staff,1985-09-03,1993-09-03
30983,Nidapan,Petersohn,Staff,1985-02-24,1992-02-25
30999,Yuuichi,Lorys,Senior Staff,1985-08-10,9999-01-01
31070,Tru,Solares,Staff,1985-07-01,1991-07-01
31089,Kshitij,Cannane,Senior Staff,1985-06-13,9999-01-01
31106,Oscal,Kulisch,Staff,1985-03-25,1991-03-25
31119,Yishay,Menhardt,Engineer,1985-08-24,1992-08-24
31171,Sashi,Przulj,Staff,1985-12-05,1994-12-05
31253,Troy,Pepe,Engineer,1985-08-19,1992-08-19
31404,Gererd,Narlikar,Assistant Engineer,1985-05-26,1991-05-26
31407,Chaosheng,Vernadat,Staff,1985-12-27,1990-12-27
31429,Matk,Bernini,Staff,1985-02-22,1992-02-23
31501,Martial,Penn,Senior Engineer,1985-04-20,9999-01-01
31571,Jagoda,Reutenauer,Technique Leader,1985-07-25,9999-01-01
31630,Fabrizio,Businaro,Engineer,1985-07-27,1991-07-27
31664,Mohan,Vickson,Staff,1985-11-03,1990-03-01
31796,Leen,Vakili,Engineer,1985-10-09,1993-10-09
31872,Sanjay,Georgakopoulos,Staff,1985-03-26,1992-03-26
31890,Dekang,Shiratori,Staff,1985-09-22,1992-09-22
31931,Alenka,Leppanen,Senior Staff,1985-09-02,9999-01-01
31933,Arun,Huhdanpaa,Engineer,1985-06-13,1992-06-13
31970,Taegyun,Zaumen,Engineer,1985-12-25,1991-12-25
32053,Arunachalam,Tiemann,Assistant Engineer,1985-10-13,1993-10-13
32113,Surveyors,Beerel,Technique Leader,1985-11-18,1988-05-18
32147,Shahaf,Basart,Engineer,1985-07-12,1991-07-12
32167,Christophe,Sury,Senior Staff,1985-11-25,9999-01-01
32180,Abdelaziz,Hofman,Staff,1985-04-24,1994-04-24
32204,Garnet,Leppanen,Staff,1985-10-14,1992-10-14
32221,Pranas,Snedden,Staff,1985-12-19,1991-12-19
32252,Marke,Bratten,Engineer,1985-06-20,1992-06-20
32458,Conal,Uehara,Senior Staff,1985-12-15,9999-01-01
32531,Heng,Zirintsis,Engineer,1985-11-18,1990-11-18
32540,Chrisa,Jervis,Engineer,1985-08-29,1990-08-29
32797,Martial,Ginesta,Engineer,1985-05-17,1993-05-17
32871,DeForest,Rullman,Staff,1985-05-02,1992-05-02
32979,Xumin,Swift,Staff,1985-09-25,1991-09-25
33018,Christophe,Baer,Assistant Engineer,1985-03-20,1991-03-20
33021,Mona,Genin,Engineer,1985-09-01,1986-06-27
33137,Shietung,Ranon,Staff,1985-05-07,1992-05-07
33270,Chanjung,Ebeling,Staff,1985-05-12,1992-05-12
33339,Pasqua,Harnett,Engineer,1985-09-14,1991-03-13
33522,Gift,Barinka,Staff,1985-04-04,1990-04-04
33563,Sastry,Akazan,Staff,1985-10-31,1990-10-31
33585,Pasqua,Junot,Engineer,1985-02-21,1986-03-06
33631,Tonny,Ozeri,Senior Staff,1985-05-11,9999-01-01
33651,Haldon,Bresenham,Engineer,1985-11-27,1993-11-27
33744,Cedric,Bellone,Engineer,1985-12-01,1994-12-01
33748,Bernt,Argence,Engineer,1985-08-21,1992-08-21
33799,Kellie,Doering,Staff,1985-10-07,1993-10-07
33840,Lubomir,Cairo,Engineer,1985-04-06,1991-04-06
33998,Apostol,Polupanov,Engineer,1985-02-06,1990-02-06
